product_name,id,current_price,original_price,discount,discount_rate,short_description,rating_average,inventory_status,brand_name,product_link
Điện thoại vivo Y22s (8GB - 128GB) - Hàng Chính Hãng,195323206,5460000,5990000,530000,9,"Vivo Y22s sở hữu màn hình IPS LCD 6.55 inches, ở mặt trước máy có màn hình viền mỏng với camera selfie hình giọt nước. Mặt sau là hệ thống camera kép khá to, với thiết kế đèn led đặt ngang một bên. Có...",0.0,available,Vivo,https://tiki.vn/product-p195323206.html?spid=197601470
Điện thoại Vivo Y02s  (3GB/32GB) - Hàng Chính Hãng,194125248,2995000,3490000,495000,14,"Y02s - một sản phẩm giá rẻ phù hợp với các bạn dùng học sinh - sinh viên, trang bị theo đó là hiệu năng có hiệu suất ổn định cùng một viên có thời lượng dùng lên đến cả ngày.• Vivo Y02s sử dụng công ...",0.0,available,Vivo,https://tiki.vn/product-p194125248.html?spid=194125250
Điện thoại Samsung Galaxy Z Fold 4 (12GB/256GB) - Hàng chính hãng,194041787,36490000,40990000,4500000,11,...,5.0,available,Samsung,https://tiki.vn/product-p194041787.html?spid=194041789
Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,103168844,3250000,4990000,1740000,35,"Galaxy Tab A7 Lite 3GB/32GBGalaxy Tab A7 Lite là phiên bản rút gọn của dòng máy tính bảng ""ăn khách"" Galaxy Tab A7 thuộc thương hiệu Samsung, đáp ứng nhu cầu giải trí của khách hàng thuộc phân khúc b...",5.0,available,Samsung,https://tiki.vn/product-p103168844.html?spid=104310219
Điện Thoại Samsung Galaxy M32 (8GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,128865871,4460000,5990000,1530000,26,"Tối ưu không gian hiển thịMặt trước của máy được bao phủ bởi màn hình Super AMOLED 6.4 inch với độ phân giải Full HD+ mang đến trải nghiệm giải trí bao phủ, rõ ràng, màu sắc bắt mắt sinh động vô cùng...",4.8,available,Samsung,https://tiki.vn/product-p128865871.html?spid=128865875
Điện Thoại Oppo A16k (4GB/64G) - Hàng Chính Hãng,164937168,2950000,3790000,840000,22,https://cloud.opposhop.vn/index.php/s/I4hOjH8IGEWkf3V...,5.0,available,OPPO,https://tiki.vn/product-p164937168.html?spid=164937170
Điện thoại Samsung Galaxy A03s (4GB/64GB) - Hàng chính hãng,120450353,2990000,3690000,700000,19,"Thiết kế hiện đại, trẻ trungA03s sỡ hữu thiết kế tương tự như thế hệ trước, trẻ trung và hiện đại. Các cạnh của máy được vát cong cho khả năng cầm nắm tốt hơn, mặt lưng được phủ mờ giúp hạn chế trầy ...",4.8,available,Samsung,https://tiki.vn/product-p120450353.html?spid=126022664
Điện Thoại Nokia C20 2GB/16GB - Hàng Chính Hãng,135332196,1590000,2290000,700000,31,"Điện Thoại Nokia C20 2GB/16GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp micro USB, sạc, tai nghe, ốp silicon, sách hướng dẫn sử dụng. Thiết Kế Bền Bỉ Theo Thời Gian- Nokia C20 có thiết k...",4.8,available,Nokia,https://tiki.vn/product-p135332196.html?spid=140621854
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 8Gb và Bao da - Hàng nhập khẩu,161964615,3730000,3990000,260000,7,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,5.0,available,Kindle,https://tiki.vn/product-p161964615.html?spid=161964617
Điện Thoại Xiaomi Redmi 9C 4GB/128GB - Hàng Chính Hãng,133811136,3490000,0,0,0,"Điện Thoại Xiaomi Redmi 9C 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB, cây tháo sim, sách hướng dẫn.Thông số kỹ thuậtMàn hình: IPS LCD, 6.53"", HD+Hệ điều hành:Android 10Cam...",4.7,discontinued,Xiaomi,https://tiki.vn/product-p133811136.html
